,Title,Published_date,Views,Likes,Dislikes,Comments,Month
0,7 WWCD | SUNA HAI NAYA UPDATE AAYA HAI !!,2024-07-18,370561,22360,0,41,Jul
1,Meet the Sanskari PUBG Squad 😂,2024-07-18,104886,10328,0,125,Jul
2,BHUL TOH NI GAYE HUME !!,2024-07-17,269308,15939,0,22,Jul
3,GUSSA THUK DO ( MUJPE NAI ) !!,2024-07-16,210537,12972,0,66,Jul
4,TUNE GYM KA FEES BHARA THANA ?? 🤨🤨,2024-07-15,148849,9841,0,17,Jul
5,Everyone Was Shocked after this 1v4 Clutch 🔥  | *22 Solo Kills* Highlights,2024-07-13,160993,15038,0,201,Jul
6,And this is how I Did a 1v4 in the End 😎 #shorts,2024-07-12,321810,28953,0,161,Jul
7,KOI BAAT NI AAJA STREAM DEKHLE THODI DER  !!,2024-07-09,247335,18050,0,43,Jul
8,"In Every Team, There is One Oversmart Friend 😠",2024-07-08,140300,11465,0,113,Jul
9,BONUS CHALLENGE TIME !!,2024-07-06,279908,16844,0,62,Jul
10,WHO WILL PAY OUR DINNER BILL ??,2024-07-06,482305,44830,0,666,Jul
11,Whose Name Will Be Lucky For Me ? *CRATE OPENING* #shorts,2024-07-05,1023459,129871,0,174,Jul
12,BADA PAARIVARIK MAHOL HAI,2024-07-04,281428,18041,0,33,Jul
13,ASLI CINEMA TOH HUM SABKI LIFE HAI,2024-07-03,265770,17948,0,33,Jul
14,"10,000 SUBS FOR CRATE OPENING || BAARISH ME INTERNET NAHI JAANI CHAHIYE PLS !!",2024-07-02,250256,17641,0,35,Jul
15,KHADA HU AAJ BHI WAHI...... !!,2024-07-01,250075,18629,0,64,Jul
16,that one oversmart friend 😂 #shorts,2024-07-01,103945,8807,0,24,Jul
17,This Game Will Trigger Everyone 😠,2024-07-01,169325,13119,0,204,Jul
18,He Got Banned in the Middle of the Game 😲,2024-06-26,211791,15557,0,161,Jun
19,TENSION MAT LE AA JAYEGA REPLY !!,2024-06-23,207502,12917,0,103,Jun
